Socialinės rizikos šeimų skaičius metų pabaigoje;;;;;;;
;;;;;;;
;;Socialinės rizikos šeimų skaičius metų pabaigoje | vnt.;;;;;
;;2018;2017;2016;2015;2014;
Socialinės rizikos šeimų skaičius, iš viso;Lietuvos Respublika;9235;9786;9676;9757;9930;
